date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:21	38100/38100	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:21%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/f9994194c1323b6c6223-20200524110653-20200609090902.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/f9994194c1323b6c6223-20200524110653-20200609090902.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:21	33954/33954	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:21%20GMT	https://w.ladicdn.com/s550x500/5c113e00f5d1592491ee50b4/zxczxcad-20200524110543-20200609090904.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s550x500/5c113e00f5d1592491ee50b4/zxczxcad-20200524110543-20200609090904.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:21	47411/47411	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:21%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/56349177_112557323264160_5856386679182458880_n-1554973777-1561631517-20200513031355.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/56349177_112557323264160_5856386679182458880_n-1554973777-1561631517-20200513031355.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:21	26679/26679	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:21%20GMT	https://w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/84947430634_20190408001343-20190918085903-20200513031503.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s400x400/5c113e00f5d1592491ee50b4/84947430634_20190408001343-20190918085903-20200513031503.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:22	61370/61370	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:22%20GMT	https://w.ladicdn.com/s450x450/5c113e00f5d1592491ee50b4/logo-20200610023929-20200727082712.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s450x450/5c113e00f5d1592491ee50b4/logo-20200610023929-20200727082712.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:22	25186/25186	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:22%20GMT	https://w.ladicdn.com/s700x550/5c113e00f5d1592491ee50b4/anh-nen-dep-cho-power-point-mau-xanh-la_111222664-20200907102702.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s700x550/5c113e00f5d1592491ee50b4/anh-nen-dep-cho-power-point-mau-xanh-la_111222664-20200907102702.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:22	61370/61370	---MC-	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2002:32:22%20GMT	https://w.ladicdn.com/s450x450/5c113e00f5d1592491ee50b4/logo-20200610023929-20200907102746.png	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s450x450/5c113e00f5d1592491ee50b4/logo-20200610023929-20200907102746.png	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:22	60362/60362	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2022%20Sep%202020%2002:32:22%20GMT	https://w.ladicdn.com/s550x650/5c113e00f5d1592491ee50b4/hd1_vayl-20200916102741.jpg	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/s550x650/5c113e00f5d1592491ee50b4/hd1_vayl-20200916102741.jpg	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:23	137749/137749	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Sep%202020%2002:32:23%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Documents/Clone%20Ladi/Demo%20Pre/connect.facebook.net/en_US/fbevents.js	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:23	60156/60156	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Sep%202020%2002:32:23%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.css?v=1600658470710	D:/Documents/Clone%20Ladi/Demo%20Pre/w.ladicdn.com/v2/source/ladipage.minef2a.css	(from https://sitokata.detoxcantay.online/botcantayf99)
09:32:24	25319/25319	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202020%2002:32:23%20GMT	https://sitokata.detoxcantay.online/POST	D:/Documents/Clone%20Ladi/Demo%20Pre/sitokata.detoxcantay.online/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
